,ACETAMINOPHEN,ACETYLCHOLINE,ACETYLCYSTEINE,ADENOSINE,ALPRAZOLAM,AMANTADINE,AMITRIPTYLINE,AMMONIUM,AMPHETAMINE,AMPICILLIN,ANGIOTENSIN II,APOMORPHINE,ARGININE,ARIPIPRAZOLE,ASCORBIC ACID,ASPIRIN,ATORVASTATIN,ATROPINE,AZATHIOPRINE,BACLOFEN,BARIUM,BENZTROPINE MESYLATE,BENZYL,BETA CAROTENE,BIPERIDEN,BROMOCRIPTINE MESYLATE,BUPIVACAINE,BUPROPION,BUSPIRONE,CABERGOLINE,CANNABIDIOL,CARBIDOPA,CEFTRIAXONE,CHLOROQUINE,CHLORPROMAZINE,CHOLIC ACID,CHYMOTRYPSIN,CISPLATIN,CITRATE,CLONAZEPAM,CLONIDINE,CLOZAPINE,COCAINE,COPPER,CORTISONE,CYCLOSPORINE,CYPROHEPTADINE,CYSTEAMINE,CYSTEINE,DABIGATRAN ETEXILATE,DALFAMPRIDINE,DANTROLENE,DAUNORUBICIN,DEFEROXAMINE MESYLATE,DEOXYCHOLIC ACID,DESIPRAMINE,DEXAMETHASONE,DEXMEDETOMIDINE,DEXTROAMPHETAMINE,DIAZEPAM,DIMETHYL SULFOXIDE,DONEPEZIL,DOPAMINE,DOXORUBICIN,DROXIDOPA,DUTASTERIDE,ENTACAPONE,EPINEPHRINE,ESTRADIOL,ETHOPROPAZINE,EVANS BLUE,FLUORESCEIN,FLUOXETINE,FLUPHENAZINE,FOLIC ACID,GABAPENTIN,GLUCONATE,GUANIDINE,HALOPERIDOL,HALOTHANE,HELIUM,HISTAMINE,HYDROGEN PEROXIDE,IMIPRAMINE,ISOCARBOXAZID,ISONIAZID,KETAMINE,LACTATE,LEVODOPA,MANGANESE,MAZINDOL,MECAMYLAMINE,MEMANTINE,MENADIONE,MEPERIDINE,METHADONE,METHAMPHETAMINE,METHYLDOPA,METHYLPHENIDATE,METOCLOPRAMIDE,MILNACIPRAN,MORPHINE,NADOLOL,NALOXONE,NIACIN,NICOTINE,NITRIC OXIDE,NITRITE,NITROGEN,ORPHENADRINE,PARGYLINE,PENICILLAMINE,PERGOLIDE MESYLATE,PERMETHRIN,PERPHENAZINE,PHENOXYBENZAMINE,PILOCARPINE,PIMOZIDE,PINACIDIL,PRAMIPEXOLE,PRAZOSIN,PRIMIDONE,PROBENECID,PROCAINE,PROMAZINE,PROPRANOLOL,PYRIDOXINE,RESERPINE,RISPERIDONE,RIVASTIGMINE,ROPINIROLE,ROTIGOTINE,SCOPOLAMINE,SECRETIN,SELEGILINE,SERTRALINE,SUCCINATE,SUCCINYLCHOLINE,SULFUR,TESTOSTERONE,TETRABENAZINE,TETRACYCLINE,THEOPHYLLINE,THIAMINE,THIORIDAZINE,THYROTROPIN,TOLCAPONE,TRANYLCYPROMINE,TRAZODONE,TRIFLUOPERAZINE,TRIHEXYPHENIDYL,TRYPAN BLUE,UREA,VALPROATE,VASOPRESSIN,VITAMIN A,XYLOSE,ZINC,ZONISAMIDE,year
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1969
1970,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970
1971,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971
1972,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1972
1973,,2.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973
1974,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974
1975,,,,,,5.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,14.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,14.0,,,,,,,,,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1975
1976,,3.0,,,,5.0,,,1.0,,,3.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,7.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,19.0,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,19.0,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1976
1977,,,,,,6.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,,,,,21.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1977
1978,,,,,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,22.0,,,,,1.0,,,,,,,,,,,2.0,,1.0,,,,,,,,18.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,1978
1979,,3.0,,1.0,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,25.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,1.0,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1979
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
1981,,4.0,,,,4.0,,,2.0,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,27.0,,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,,,,,21.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,1981
1982,,2.0,,,,3.0,,,2.0,,,3.0,,,,,,,,,,,1.0,,,,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,1.0,,,,1.0,,,,,2.0,1.0,,,,,,,,,19.0,,,,,,,,1.0,,,2.0,,3.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1982
1983,,3.0,,,,,,,,,,2.0,,,1.0,,,1.0,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,23.0,1.0,,,,,,,,1.0,,,,3.0,,2.0,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,1983
1984,,2.0,,1.0,,3.0,,1.0,3.0,,,5.0,,,,,,,,,,,,,,1.0,,1.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,5.0,,,,,,,,,,,,,,,2.0,,,,,,40.0,1.0,,,,,,,,,,,,5.0,2.0,,,,,,1.0,,,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984
1985,,2.0,,,,3.0,,,3.0,1.0,,3.0,,,1.0,,,,,,,,,,,2.0,,,,,,10.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,3.0,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,1985
1986,,3.0,,,,2.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,3.0,,,,,,,,,,,3.0,,,,,2.0,,,,1.0,15.0,2.0,1.0,,,,1.0,1.0,,,,1.0,,6.0,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1986
1987,,6.0,,1.0,,2.0,,,2.0,,,5.0,,,,,,,,,,,1.0,,,,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,2.0,,,,,,,,,,,2.0,,,,,2.0,,,,,27.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,1987
1988,,7.0,,,,2.0,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,1.0,,,,1.0,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
1989,2.0,5.0,,,,,,,5.0,,,8.0,,,,,,,,,,,2.0,,,,,,,,,9.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,58.0,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,34.0,3.0,,,,,,,,2.0,1.0,,,8.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,1989
1990,,2.0,,,,2.0,,,4.0,,,7.0,,,1.0,,,,,,,,,,,,,,,,,10.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,,47.0,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,28.0,,1.0,,,,,,,,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1990
1991,,2.0,,,,3.0,,,4.0,,,7.0,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,26.0,,2.0,,,,,,2.0,2.0,,,,7.0,,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1991
1992,,2.0,,,,1.0,,,3.0,,,9.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,56.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,27.0,2.0,,,1.0,,,,,3.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,1992
1993,,,,1.0,,2.0,,,,,,4.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,6.0,,,,,,,1.0,,,,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,45.0,,1.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,26.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1993
1994,,3.0,,,1.0,,,,9.0,,,6.0,,,2.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,,,55.0,,,,,3.0,,,,,,,,,,,2.0,,1.0,2.0,2.0,,,,,,20.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,1994
1995,,3.0,,,,2.0,,,,,,9.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,3.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,68.0,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,10.0,,,,2.0,,,,,,,,,9.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1995
1996,,2.0,,1.0,,3.0,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,15.0,3.0,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,4.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,3.0,,1996
1997,,3.0,,,,,,,7.0,,,9.0,,,,,,,,2.0,,,,,,,,,,,,6.0,,,,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,70.0,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,30.0,,,,,,,,2.0,2.0,,,,10.0,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1997
1998,,,2.0,,,,,,4.0,,,10.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,1.0,,,,,5.0,,,,,,,,,,,,,,68.0,,,,3.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,23.0,,,,,,,,3.0,,,,,10.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,1998
1999,,,,,,3.0,,,3.0,,,2.0,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,56.0,,,,2.0,,,,,,,,,,,,,,,,3.0,,,,,,23.0,,,,,,,,,,,,,2.0,,,,,5.0,3.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,1999
2000,,,,4.0,,,,,3.0,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,2.0,,,,,,,,,,,,,,59.0,,,,,2.0,,,,,,,,,,,2.0,,,,4.0,,,,,,17.0,2.0,,,,,,,,,,,,4.0,,,,,2.0,2.0,,,,,,,,,,,,3.0,,,,,,,,4.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2000
2001,,4.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,60.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,21.0,3.0,,,,,,,,,,,,6.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,4.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,2001
2002,,2.0,1.0,,,2.0,,,2.0,,,8.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,65.0,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,21.0,2.0,,,,,,,,,,,,8.0,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,2002
2003,,3.0,,,,,,,3.0,,,2.0,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,6.0,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,3.0,,16.0,3.0,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,3.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,2003
2004,,4.0,,12.0,,,,,3.0,,,5.0,,,,,,,,,,,3.0,,,,,,,3.0,,5.0,,,,,,,,,,2.0,,,,,,,8.0,,,,,,,,,,,,,,117.0,,,,3.0,4.0,,,,,,,,,,,4.0,,,,4.0,,,,,,24.0,2.0,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2004
2005,,4.0,2.0,6.0,,2.0,,,6.0,,,7.0,,,2.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,104.0,,,,,,2.0,,,,,,,,,3.0,4.0,,,,5.0,,,,,,16.0,7.0,,,,,,,,,,,,7.0,,,,,6.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2005
2006,,2.0,,2.0,,,,,3.0,,,4.0,2.0,,2.0,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,79.0,,,,,2.0,,,,1.0,,,,,,,,,,,5.0,,,,,3.0,15.0,2.0,,,,,,,,,,,,4.0,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006
2007,,,2.0,3.0,,2.0,,,4.0,,,3.0,,,,1.0,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,86.0,,,,,,,,,2.0,1.0,,,,,3.0,,,,,,,,,,,12.0,,,,,,,,,2.0,,,,3.0,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007
2008,,,,1.0,,2.0,1.0,,5.0,,,4.0,,,,,,,,,,,2.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,66.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,8.0,,,,,,,,3.0,,2.0,,,4.0,,,,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
2009,,3.0,,3.0,,,,,3.0,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,6.0,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,8.0,2.0,,1.0,,,,,1.0,,,,,3.0,,,,,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,2009
2010,,2.0,,5.0,,2.0,,,,,,4.0,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,6.0,,,,,,,,,,,,,2.0,51.0,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,2.0,10.0,2.0,,,2.0,,,,,,,,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2010
2011,,,,1.0,,2.0,,,1.0,,1.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,11.0,,,,,,,,,,,,,4.0,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2011
2012,,2.0,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,73.0,,,,1.0,,1.0,,,,,,,,,2.0,1.0,,,,2.0,,,,,,27.0,3.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012
2013,,,,2.0,,,,,2.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,4.0,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,58.0,,,,,2.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,12.0,2.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2013
2014,,,1.0,3.0,,,,,1.0,,,2.0,,,1.0,,,,,,,,1.0,,,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,,2.0,,,,1.0,,1.0,,,,,,,,58.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
2015,,3.0,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,52.0,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,3.0,,,,,4.0,11.0,,,,,,,,,,,,,,,,,,3.0,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,2015
2016,,2.0,,1.0,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,47.0,,,,,1.0,,,,,1.0,,,,,1.0,,,2.0,1.0,,,,,,1.0,5.0,1.0,,,,1.0,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,2016
2017,,3.0,,1.0,,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,2.0,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2017
